MSR_DT,STTN_NM,PM25,PM10,O3,CO,SO2,NO2,Month,Hour
2023-11-10 22:00:00,삼방동,8.0,17.0,0.019,0.32,0.0021,0.017,11.0,22.0
2023-10-30 09:00:00,삼방동,15.0,39.0,0.006,0.62,0.0028,0.033,10.0,9.0
2023-12-12 10:00:00,삼방동,1.0,3.0,0.0334,0.31,0.002,0.008,12.0,10.0
2023-11-03 23:00:00,삼방동,11.0,19.0,0.023,0.36,0.0024,0.015,11.0,23.0
2023-06-05 01:00:00,삼방동,12.0,17.0,0.045,0.49,0.0025,0.008,6.0,1.0
2023-10-24 18:00:00,삼방동,16.0,31.0,0.031,0.4,0.0021,0.029,10.0,18.0
2023-05-10 10:00:00,삼방동,28.0,53.0,0.038,0.45,0.003,0.041,5.0,10.0
2023-01-25 19:00:00,삼방동,7.0,9.0,0.017,0.4,0.002,0.021,1.0,19.0
2023-03-12 01:00:00,삼방동,38.0,65.0,0.036,0.6,0.002,0.017,3.0,1.0
2023-02-04 16:00:00,삼방동,21.0,35.0,0.047,0.5,0.003,0.012,2.0,16.0
2023-05-07 22:00:00,삼방동,12.0,21.0,0.047,0.25,0.002,0.007,5.0,22.0
2023-01-14 04:00:00,삼방동,5.0,33.0,0.003,,0.004,0.015,1.0,4.0
2023-10-08 05:00:00,삼방동,5.0,17.0,0.038,0.25,0.002,0.006,10.0,5.0
2023-09-02 16:00:00,삼방동,6.0,13.0,0.022,0.39,0.0021,0.009,9.0,16.0
2023-09-05 21:00:00,삼방동,7.0,15.0,,0.21,0.0022,0.005,9.0,21.0
2023-06-15 18:00:00,삼방동,23.0,35.0,0.098,0.36,0.0034,0.014,6.0,18.0
2023-07-26 13:00:00,삼방동,30.0,25.0,0.02,0.28,0.0056,0.005,7.0,13.0
2023-11-19 09:00:00,삼방동,8.0,19.0,0.022,0.4,0.002,0.018,11.0,9.0
2023-03-26 07:00:00,삼방동,21.0,91.0,0.031,0.3,0.002,0.007,3.0,7.0
2023-09-20 20:00:00,삼방동,8.0,13.0,0.021,0.28,0.0011,0.007,9.0,20.0
2023-10-17 17:00:00,삼방동,9.0,33.0,0.047,0.34,0.0021,0.015,10.0,17.0
2023-01-22 08:00:00,삼방동,10.0,,0.013,0.4,0.004,0.02,1.0,8.0
2023-06-02 15:00:00,삼방동,8.0,33.0,0.074,0.37,0.0025,0.008,6.0,15.0
2023-09-18 03:00:00,삼방동,4.0,15.0,0.02,0.26,0.002,0.007,9.0,3.0
2023-11-27 19:00:00,삼방동,17.0,35.0,0.028,0.52,0.0029,0.023,11.0,19.0
2023-12-07 08:00:00,삼방동,6.0,25.0,0.0332,0.28,0.0021,0.0103,12.0,8.0
2023-05-22 10:00:00,삼방동,25.0,133.0,0.035,0.14,0.002,0.015,5.0,10.0
2023-12-14 03:00:00,삼방동,6.0,19.0,0.0244,0.33,0.0029,0.0151,12.0,3.0
2023-07-08 01:00:00,삼방동,4.0,5.0,0.041,0.37,,0.008,7.0,1.0
2023-09-26 04:00:00,삼방동,7.0,15.0,0.025,0.25,0.002,0.008,9.0,4.0
2023-09-08 07:00:00,삼방동,6.0,15.0,0.033,,0.0015,0.005,9.0,7.0
,삼방동,16.0,33.0,0.0267,0.49,0.0023,0.015,,
2023-01-01 15:00:00,삼방동,43.0,62.0,0.04,0.4,0.004,0.007,1.0,15.0
2023-08-10 03:00:00,삼방동,1.0,5.0,0.018,0.37,0.0012,0.002,8.0,3.0
2023-12-22 05:00:00,삼방동,10.0,21.0,0.0222,0.29,0.002,0.0108,12.0,5.0
2023-02-06 03:00:00,삼방동,25.0,27.0,0.014,0.7,0.004,0.033,2.0,3.0
2023-11-10 07:00:00,삼방동,15.0,21.0,0.022,0.32,0.0021,0.013,11.0,7.0
